,name,1dx,2dx
0,构造,-0.05703716,-0.5148557
1,岩石,-0.5237662,-0.63645387
2,地层,-0.10604412,-0.7558591
3,特征,-0.30817515,-0.5693906
4,呈,-0.40115735,-0.6730735
5,分布,0.103996426,-0.8977691
6,火山岩,-0.5415744,-0.56942683
7,砂岩,-2.053387,-0.27838668
8,世,-0.20840225,-1.1987888
9,变质,-0.23269287,-0.22640347
10,岩,-1.3362914,-0.43136573
11,结构,-0.88434803,-0.7962602
12,形成,-0.1417975,-0.74355197
13,测区,0.06285249,-0.83771694
14,发育,-0.30737364,-0.60611886
15,组成,-0.93771285,-0.6962687
16,三叠,-0.29443884,-1.4176787
17,含量,-0.41418743,-0.8401054
18,灰岩,-1.6374644,-0.28643343
19,火山,-0.8024486,-0.19688214
20,石英,-0.95401055,-1.0018039
21,地质,0.122044176,-0.823124
22,花岗岩,-0.44572946,-1.0755312
23,矿物,-0.6820068,-0.76742226
24,灰色,-2.1266,-0.37398252
25,状,-1.1155725,-0.5586713
26,层状,-2.564958,-0.46873018
27,斜长石,-0.8332074,-0.9817542
28,长石,-1.9024106,-0.55021966
29,组,-0.7812094,-0.4529025
30,°,-0.59255534,-1.6750596
31,接触,-0.22588378,-0.51184946
32,作用,-0.03229023,-0.38255253
33,夹,-2.303148,-0.12274862
34,区域,0.069065996,-0.6971551
35,玄武岩,-1.2044859,-0.54909575
36,碎屑岩,-0.9676749,-0.14465149
37,区内,0.025489261,-0.8555709
38,一带,-0.14217027,-0.8287002
39,组合,-0.48064172,-0.51094544
40,混杂,0.45045233,-1.307115
41,为主,-0.8891025,-0.48088205
42,二叠,-0.44510114,-1.2212131
43,变形,-0.1383126,-0.46028525
44,活动,-0.16206658,-0.60826045
45,稀土,-0.2697776,-1.0162287
46,均,-0.30813968,-0.7088989
47,灰绿色,-1.6050385,-0.39688033
48,沉积,-0.3907815,-0.52430344
49,云母,-1.1209565,-1.2724427
50,少量,-1.0742998,-0.58197606
51,侵入,-0.4012253,-0.6720832
52,环境,-0.2543685,-0.6713767
53,绿泥石,-0.89775246,-1.1870528
54,断裂,-0.010854436,-0.741969
55,细粒,-1.9459125,-0.6208523
56,岩屑,-2.062063,-0.5142127
57,多彩,0.4142894,-1.1375141
58,盆地,0.06644859,-0.8067963
59,时代,-0.24269076,-0.87261814
60,化石,-0.268122,-0.9988998
61,绿,0.67336315,-1.3840325
62,青海省,0.056090355,-0.96105474
63,划分,-0.24120797,-0.6510871
64,板岩,-1.8706459,-0.17521952
65,基质,-0.84533685,-0.8091766
66,岩浆,-0.13802044,-0.6142649
67,辉石,-0.6507257,-0.8439245
68,结扎,-0.22573483,-1.0789782
69,蛇,0.6715702,-1.1988144
70,整合,-0.5834204,-0.6924477
71,±,-0.044448502,-0.7744751
72,蛇绿岩,0.06085308,-0.6662242
73,剖面,-0.13812518,-0.88494676
74,期,-0.26383376,-0.72420615
75,绢,-0.6720598,-1.1664505
76,变质岩,-0.2355143,-0.396227
77,熔岩,-1.2601966,-0.44851616
78,黑云母,-0.6946757,-0.81371516
79,成分,-0.9167101,-0.52209336
80,侵入体,-0.321065,-0.817009
81,褶皱,-0.18950458,-0.64974463
82,出露,-0.14128385,-0.62757117
83,岩体,-0.3625962,-0.7547121
84,岩性,-0.84549826,-0.4652316
85,巴塘,-0.22208764,-0.8659865
86,局部,-0.4418927,-0.4516622
87,安山岩,-1.1638138,-0.34005833
88,断层,-0.33294335,-0.56850517
89,成矿,-0.32346123,-0.9237075
90,石英砂,-1.7726873,-0.44141513
91,地区,-0.1552948,-0.8708233
92,工作,-0.25102502,-0.9306829
93,北西,-0.004654246,-0.59059894
94,元素,-0.26445383,-0.87608194
95,之间,-0.28901103,-0.7266771
96,∶,-0.19327779,-1.0026022
97,厚度,-0.60102475,-0.557604
98,闪长岩,-0.7785971,-0.87768507
99,凝灰岩,-1.3664758,-0.36194485
100,属,-0.54304314,-0.58716136
101,富集,-0.14374763,-0.7965045
102,深灰色,-1.5513247,-0.48103777
103,粒状,-0.7363808,-0.66398066
104,10,-0.38735548,-0.7254413
105,微量元素,-0.3263024,-0.60055506
106,特点,-0.30739605,-0.5838566
107,异常,-0.23685548,-0.66854954
108,角闪石,-0.55762374,-0.7828975
109,图解,-0.44186834,-0.95684546
110,进行,-0.19968499,-0.7382425
111,斑岩,-0.3988989,-0.89553666
112,灰,-1.5557885,-0.4693916
113,调查,-0.15807183,-0.84012604
114,含,-0.8117547,-0.5247918
115,生物,-1.1198624,-0.4538301
116,⒉,-0.7016474,-0.4657178
117,化学,-0.25018236,-0.45369127
118,样品,-0.50557816,-0.7484757
119,变化,-0.3738724,-0.6130841
120,展布,-0.004918732,-0.53406405
121,层理,-0.6797511,-0.45233044
122,尕,-0.33561322,-0.8474001
123,单元,-0.17535293,-0.67701393
124,⒈,-0.61691076,-0.55704075
125,演化,-0.22093594,-0.63813376
126,分析,-0.24528947,-0.6237638
127,曲线,-0.24141808,-0.94108456
128,碳酸盐岩,-0.6383209,-0.34827068
129,表明,-0.24353921,-0.6013933
130,浅,-0.9741849,-0.41477472
131,巴尕日,-0.6347434,-1.0064298
132,出现,-0.47536588,-0.68313813
133,带状,-0.32281208,-0.52934235
134,⑵,-0.32611302,-0.5126829
135,铜,-0.36860338,-0.8614943
136,碎屑,-0.99257433,-0.29376668
137,薄层,-1.5730745,-0.4819033
138,块状,-0.30532792,-0.3817434
139,蚀,-0.5938415,-0.49577302
140,⑴,-0.31235644,-0.6214988
141,程度,-0.21884154,-0.57621735
142,保组,-0.5367524,-0.8520042
143,酸性,-0.7217497,-0.33949006
144,植被,-0.40951437,-0.7315008
145,发生,-0.36526787,-0.8063969
146,总体,-0.33480522,-0.59664315
147,质,-1.4186088,-0.41231483
148,控制,-0.15311302,-0.474198
149,δ,-0.4006862,-0.7800736
150,矿床,-0.30244392,-0.8338869
151,硅质,-0.7257016,-0.47640017
152,年龄,-0.20220448,-0.74001783
153,辉长岩,-0.43618885,-0.52577436
154,通天河,0.14595813,-0.7892851
155,K2O,-0.26237476,-0.7814929
156,碱性,-0.5185565,-0.65959144
157,″,-0.5184748,-1.0927751
158,矿化,-0.33877876,-0.6993737
159,基性,-0.7365302,-0.3471873
160,动力,-0.119462386,-0.3796689
161,岛弧,-0.26836714,-0.5021955
162,绿帘石,-0.4569225,-0.71359795
163,构成,-0.3988516,-0.6941082
164,斑晶,-0.49163154,-0.6058928
165,韧性,-0.1469547,-0.5422881
166,早期,-0.26631448,-0.59851086
167,糜棱岩,-0.53359336,-0.5004565
168,涌,-0.068878084,-0.88353145
169,一套,-0.5374043,-0.43522248
170,带中,-0.044791058,-0.6034325
171,粉砂,-1.433702,-0.22282694
172,围岩,-0.3091294,-0.4977902
173,位于,-0.13564724,-0.76485145
174,理化,-0.67383456,-0.21265656
175,紫色,-1.1611423,-0.49346814
176,Qz,-0.28336126,-0.63225496
177,⒊,-0.5861344,-0.46456346
178,考组,-0.33649263,-0.70396197
179,资料,-0.24115841,-0.5740073
180,贡玛,-0.23261768,-0.82687503
181,结合,-0.2189809,-0.6390774
182,见表,-0.3400935,-0.59013826
183,解译,-0.2724623,-0.719528
184,系列,-0.41330525,-0.6695092
185,纳日,-0.21798885,-0.69062346
186,表现,-0.29979175,-0.53789294
187,产状,-0.33667672,-0.7013465
188,气候,-0.3703484,-0.6213809
189,杂多县,-0.16733077,-0.79647946
190,砾岩,-0.8958745,-0.38638753
191,产出,-0.33066395,-0.538477
192,影象,-0.3253161,-0.6451255
193,配分,-0.158218,-0.7825505
194,SiO2,-0.29417297,-0.66164225
195,面积,-0.15410613,-0.50236017
196,阶段,-0.28192842,-0.7029227
197,微粒,-0.61673945,-0.74141914
198,喷发,-0.28951433,-0.47204256
199,片,-0.7240604,-0.36402127
200,花岗,-0.45510945,-0.6348017
201,爆发,-0.31722507,-0.43334025
202,土壤,-0.32629496,-0.5782866
203,形态,-0.26324007,-0.53408116
204,地貌,-0.19573069,-0.57198197
205,占,-0.52434886,-0.7071488
206,Na2O,-0.17667398,-0.7378371
207,较大,-0.2426654,-0.5189699
208,mm,-0.31691417,-0.60827607
209,金沙江,-0.2559601,-0.6502299
210,单位,-0.14912426,-0.38875046
211,生态环境,-0.31977957,-0.7225951
212,变晶,-0.4939788,-0.551356
213,规模,-0.2755092,-0.5345349
214,后期,-0.18236803,-0.4380262
215,Eu,-0.19021477,-0.63548625
216,地段,-0.38674188,-0.52545476
217,交代,-0.2458532,-0.54732
218,普遍,-0.32139772,-0.36106417
219,片麻岩,-0.47265154,-0.4379025
220,⒋,-0.6387443,-0.386739
221,矿体,-0.32002512,-0.5473175
222,轻,-0.12124663,-0.4948775
