标签,1d,2d
，,-0.09116467,3.4925861
的,0.37435222,2.0955937
。,-0.2512738,3.4610786
0,0.62918586,7.2771616
：,-0.8635184,-2.9416313
1,1.6938558,7.2043347
2,1.513706,7.7080216
、,2.7446184,-2.5612595
在,3.7805498,5.425008
了,2.860103,3.3866324
5,2.1949244,6.8365493
3,2.6099567,6.3981524
“,1.1341186,2.5059013
”,-0.186935,1.0440601
6,2.8760376,5.9105196
4,2.8371203,6.1047106
7,2.8261952,6.0008316
是,-0.74940324,1.675427
．,2.0159147,-0.28194177
和,1.744321,-0.5121124
8,2.6859767,5.533472
（,4.403989,-1.7375376
）,-1.1383212,4.8435054
9,2.5080533,5.620854
月,-0.72352064,5.4469166
也,-0.21386917,-0.7342492
有,-5.2876797,2.7824035
为,5.7054605,3.455952
－,2.9039788,-0.21980242
将,1.3727001,5.359849
日,1.0400945,-1.998464
Ｍ,2.8160887,-1.8543594
ｅ,6.765302,-3.721634
Ｃ,2.4152532,-3.8125174
Ｐ,2.1751146,1.8063675
年,3.3018925,3.6416657
Ｇ,6.406549,-5.7736564
等,-0.94954437,-2.1673682
％,-1.2855889,0.21723253
对,3.379093,0.78782266
中,-0.4289425,1.8738122
Ａ,-0.6629701,-1.8498899
与,5.4967933,-0.7375692
Ｉ,4.306633,0.83201873
ｎ,1.1087646,1.5192646
ｏ,4.778846,-3.8516665
上,-2.2936943,0.8282623
ｉ,4.0954003,0.10543589
／,-2.4202192,-1.805781
Ｂ,0.18993057,0.0827213
Ｓ,3.3956559,-3.1722236
都,-2.030997,-2.325027
他,-2.8436382,0.4714265
Ｕ,1.8924237,-4.0827
ｍ,-1.3620162,-8.907197
不,-4.8830495,-0.6806041
到,4.2213016,7.4032598
就,-1.5695012,0.19491166
Ｄ,1.4494988,-0.67820185
记者,-1.3347478,5.0155816
后,0.8908434,2.488221
多,-9.690269,2.633758
中国,0.75548846,5.3937836
》,1.7989311,-1.0991014
《,3.4444814,-1.4532224
我,-3.5921412,-2.7780707
；,0.035399184,0.8420654
更,3.9063075,-0.26887336
＞,-0.115647525,-0.53372425
人,1.1662776,-4.7059655
但,-2.6716888,2.8049695
说,-3.0240302,4.216576
ｔ,0.0864495,-6.7793875
系列,9.3755865,-7.8651004
被,-1.6632787,2.7934136
而,1.1787443,1.8859191
元,-5.8495708,-1.2418534
从,3.8943815,3.2989714
公司,1.3575281,7.238186
并,2.3244429,-0.8929177
这,-2.2623708,2.1159465
ｌ,0.6576602,-4.4053097
Ｈ,-0.83080685,-5.9709673
Ｔ,3.6505125,-1.8996763
产品,6.442735,5.0790043
个,-0.18342051,0.7189974
ｒ,4.4427075,-2.545053
ａ,2.4730806,-2.7840152
市场,0.95787203,6.988884
时,-1.0888276,-1.3863518
一个,-2.5292356,0.49738008
还,0.15895352,0.8247685
ｓ,2.9205947,-2.4198883
会,-2.2288,0.49635226
要,-2.6847048,2.3521976
我们,-3.2807763,2.3532789
表示,-1.8790348,8.17254
以,2.1447144,2.1480613
没有,-6.6733794,0.50435245
进行,1.0978473,3.9828038
Ｖ,5.459309,-4.602808
ｄ,5.4859486,-4.2912545
？,-6.8484845,-3.1857018
发展,1.7890105,2.8356395
让,0.31152904,-3.9507368
自己,-3.1503105,-1.974168
她,-1.8558962,-3.2953088
目前,0.089249924,6.0713525
工作,2.7459393,3.4222298
已经,0.5920654,4.7305937
企业,0.9322368,7.374353
可以,-2.7989852,-0.5455083
华硕,4.252548,-9.361794
经济,-0.175834,7.889989
Ｌ,3.1748054,-4.5848947
尺寸,5.5343723,-0.05015244
英寸,-3.5632017,-5.929882
情况,2.6792686,4.1840343
可,-0.9851952,-0.2376747
前,-0.4062244,6.9625797
ｚ,-3.941277,-5.6309757
很,0.33894905,-2.4637804
着,2.6073222,3.1881154
下,-5.0684357,-1.6181643
屏幕,9.758306,-5.2194653
大,-6.2973914,0.90569013
ｃ,3.1018367,-9.293822
Ｗ,0.2775371,-2.0999439
问题,0.07144746,3.01792
参数,2.9572687,0.19855551
及,2.8127103,-0.66218823
据,6.8456783,6.724815
已,2.3626554,4.7725916
Ｎ,-0.85331243,-0.7101002
Ｅ,3.9928772,0.17727125
他们,-2.8086827,-0.0673741
主频,-4.2824593,5.7285275
其,-0.38532478,1.3374953
新,0.44671893,4.1090894
于,6.337763,2.893376
北京,-0.39480942,1.3140184
芯片,0.93871385,-5.0379167
投资,0.67569214,6.598162
硬盘容量,-9.589681,-8.659777
内存容量,-4.9828653,-1.3056773
时间,-0.9145847,9.739816
今年,3.7481217,4.876311
显卡,-0.6893127,-6.7648845
地,5.083519,-0.42748824
来,2.0827641,6.5456157
能,-4.593957,-0.5822709
向,4.153882,5.2817593
Ｘ,5.5513372,-1.7894688
Ｆ,4.1050553,0.40843382
美国,-0.92011166,5.6437845
通过,2.2141366,1.8147421
给,0.17647463,0.69025147
或,-1.2275928,0.48351628
座椅,3.6019118,-2.81569
可能,-5.6729984,3.1359696
价格,-0.11427521,3.6285713
又,1.1678823,-0.901335
型号,-0.28211048,-2.014342
内,-2.662738,1.8625145
该,-4.510601,1.9711297
你,-5.290992,-4.6084614
！,-0.4721977,-3.2189233
ｇ,-0.99446213,-7.540899
同时,0.47354934,1.9606498
出现,-3.4240613,3.0513234
开始,3.6906898,8.20929
ｗ,3.0758145,-3.797521
操作系统,1.2844751,2.4689817
其中,1.6198548,0.9702612
基金,1.9790053,5.841126
Ｏ,2.1280253,-0.24870904
好,-8.838192,-1.4084171
由,3.4293401,2.4637685
把,-3.0146394,0.72413224
根据,0.70147526,2.8312619
国家,-2.514889,6.72554
这个,-5.3088946,0.24649979
认为,-2.2124035,5.3717427
